之	21957723
以	12775712
不	11648845
曰	9055618
為	8195211
也	7934754
王	7433184
其	7362650
十	7299287
而	7246762
人	7047335
有	6909936
年	6779374
子	6776206
二	6148576
軍	5870111
三	5584976
大	5573304
於	5329188
將	5323852
太	5228641
者	5219803
一	5033215
中	4772425
所	4384241
下	4012899
帝	3986053
月	3964876
五	3897678
爲	3895010
四	3615377
公	3570356
天	3562019
事	3502991
無	3407779
上	3360090
國	3288890
與	3282887
書	3202515
至	3129147
自	3121477
州	3091463
是	3052611
南	2967071
時	2956232
百	2884698
行	2883865
元	2866190
侯	2862688
陽	2852016
故	2824003
六	2692941
史	2655256
後	2621407
臣	2618239
使	2599397
言	2567548
在	2534366
相	2495347
此	2463832
日	2449993
乃	2419645
及	2412975
今	2409140
文	2400469
安	2398468
東	2397134
得	2390965
皆	2323766
郡	2308426
令	2272909
兵	2248897
可	2243061
武	2239226
漢	2219217
平	2204543
明	2195706
諸	2192204
又	2177030
則	2170194
七	2148183
長	2148183
見	2145849
作	2141680
守	2063310
城	2012786
出	2011952
謂	2010618
如	1999613
千	1980771
八	1975935
從	1956426
西	1956259
未	1937083
九	1937083
世	1919241
本	1910070
司	1909070
道	1899565
立	1899399
復	1809189
萬	1778008
夫	1765169
祖	1751329
當	1702972
北	1699638
何	1683296
師	1680795
君	1676793
欲	1662954
入	1649280
數	1644278
能	1636441
于	1629771
等	1607094
生	1604593
山	1597923
官	1589919
義	1567408
高	1560072
主	1556070
馬	1546232
餘	1536394
成	1525388
都	1515384
正	1505045
死	1500043
名	1492206
尚	1474198
常	1469195
傳	1459691
遣	1456189
士	1449186
陵	1447852
封	1447518
先	1441682
方	1440682
遂	1436346
非	1424174
古	1424174
地	1412001
前	1408166
縣	1404164
聞	1400996
亦	1392826
皇	1391158
然	1386823
朝	1379820
禮	1358643
德	1354974
晉	1351139
家	1345970
知	1343803
尉	1323293
初	1322626
民	1322459
同	1288276
左	1287609
字	1287609
騎	1244089
若	1242588
建	1241921
用	1240254
已	1238419
周	1234584
門	1220077
秦	1219077
齊	1212907
刺	1212740
殺	1211907
並	1204903
魏	1189563
卒	1184560
內	1183393
詔	1181059
后	1180892
分	1179391
興	1179225
矣	1178224
命	1177224
始	1173222
郎	1165051
侍	1157881
劉	1157714
水	1155714
還	1153713
反	1148877
孫	1135371
多	1128367
宜	1125866
張	1118196
因	1116028
光	1113193
江	1107357
石	1091516
心	1085180
氏	1084346
孝	1082179
功	1081178
位	1068839
父	1061169
河	1054499
進	1050664
來	1047996
弟	1041493
少	1036324
志	1036157
居	1035490
必	1032989
車	1031321
外	1030821
會	1025985
法	1020316
去	1017648
通	1011812
改	1006143
宗	999806
吏	998306
屬	995805
重	989968
歸	983132
各	981798
陳	981298
右	963789
即	952284
雖	947282
稱	945447
遷	943280
乎	943113
起	941612
白	937777
樂	933442
服	931441
云	925771
定	924938
遠	924771
據	923437
吳	921936
宮	917267
小	914766
廣	913766
度	906596
眾	905929
節	905095
星	896924
音	890421
永	888754
黃	885252
受	882251
加	881084
海	878749
食	878082
舉	876081
注	875914
亡	873080
吾	870745
既	861574
焉	851570
親	851403
議	846901
我	842732
歲	841732
應	840731
楚	823056
風	809049
夏	807215
景	807215
和	806715
趙	800879
宣	800545
金	800379
或	800045
攻	798211
甚	782037
率	781370
第	778702
卿	776868
意	775700
破	774200
康	771865
擊	770698
領	767363
善	764195
校	760193
足	758692
異	755858
春	755191
奉	754524
政	753523
梁	752856
亂	752689
置	749355
降	748021
發	747354
戰	744852
章	743018
說	742518
過	742351
合	740350
府	739850
引	735348
拜	733514
臨	733014
玄	730346
罪	729012
敗	725176
誅	723842
流	719841
信	719674
失	715505
神	712837
京	705834
請	701665
代	699664
治	697663
問	696996
丞	696996
母	696329
征	696329
求	695829
制	693828
秋	691494
除	689493
邑	688993
賢	680489
盡	678154
經	677487
徒	675486
陰	671484
威	671151
參	668316
女	667482
賜	665815
賊	664148
取	662980
里	660646
身	657645
戶	656144
表	654476
曹	653309
物	652309
固	650474
難	649974
莫	644972
解	644472
嘉	644305
任	642804
乘	642304
嗣	641804
終	641303
坐	641137
宋	640636
列	638469
猶	634800
新	634133
學	632466
更	632132
權	628464
號	626963
田	626797
龍	626797
益	626463
耳	624796
伯	624129
懷	623295
易	621461
按	617792
望	614291
實	613624
謀	609455
奏	608955
且	604786
論	604286
思	598116
記	597783
聖	597783
伐	594114
邪	590113
徐	589612
室	589446
疾	585444
殿	582776
關	578440
典	578274
貴	577773
共	577607
督	574272
舊	570437
寧	567102
由	566935
濟	566601
昌	565101
首	563267
原	561766
部	559765
往	558264
免	557097
辭	555596
御	555096
散	553929
惠	553429
虜	552928
清	551094
夷	549260
忠	542257
儀	541423
鎮	540756
兄	539422
昭	537921
姓	537087
好	535420
深	533753
豫	533419
己	533086
桓	530418
廟	529250
敢	528917
盛	527416
力	527249
朔	526916
理	526416
敬	526082
越	523748
甲	522581
土	521747
薨	521747
奴	521580
容	518412
直	518245
許	518078
留	516411
李	515411
業	514077
豈	512743
口	510908
雲	509408
氣	506907
咸	506073
致	505739
討	503405
廢	502905
頁	501571
開	501237
輔	500237
計	499403
絕	499236
追	499069
紀	497736
華	495568
著	495068
斬	489565
備	489231
才	487231
卷	485563
胡	485396
次	484062
布	483896
陛	483729
利	483562
衣	482895
持	479560
承	477726
觀	475558
射	474224
病	472724
博	472390
聲	472057
靈	471390
延	470889
處	470389
昔	470389
近	469889
略	468722
淮	466054
勝	462719
韓	462219
丁	462052
申	461552
便	459051
惟	458384
交	456383
林	456049
集	455882
獻	453715
害	453381
弘	451547
疑	450380
語	449046
孔	448879
告	448879
冠	448879
就	448546
喪	445878
仁	445544
夜	444877
止	444710
祿	443877
間	443376
犯	443376
執	441876
顯	441542
老	441376
伏	439041
獨	438541
酒	437707
召	435873
爵	434706
尊	433705
嘗	432205
仲	431204
聽	430871
哉	430370
鄉	430037
寇	430037
衛	428703
情	425868
被	425368
青	424534
庶	424034
徙	423367
蓋	420366
良	420199
逆	419032
久	418865
尋	418365
微	418031
退	417531
廷	416197
魯	416197
隨	416030
奔	416030
滅	413029
謝	412695
哀	411361
泰	410361
幸	410027
惡	407860
職	407359
補	407193
轉	406526
凡	406359
休	405025
誠	404691
荊	404525
變	404358
走	404191
揚	403858
動	403858
別	403191
呂	402190
恩	401190
刑	400856
徵	398522
比	398188
載	397521
鄭	397521
憂	397521
傅	397355
壽	395854
單	395854
空	395187
遺	392019
順	391519
素	391018
辰	391018
化	390518
匈	390185
季	389184
色	388851
策	387016
省	386850
對	385849
收	384682
燕	384349
詩	382348
每	382181
妻	379346
懼	378846
考	378179
恐	376011
僕	374844
羽	374511
連	373844
屯	373010
錢	372843
悉	371843
祭	371676
客	371342
美	371009
監	370675
襄	369842
亮	367674
怒	367007
衆	366507
川	365506
頭	362672
歷	362505
極	357502
護	356169
雍	356169
蜀	355835
汝	353834
恭	352834
楊	352500
叔	352333
輕	351833
冬	351333
救	350499
寶	349999
登	349332
路	348832
俱	348165
修	346831
營	345664
群	345664
獲	344997
崩	344663
隆	344330
性	343829
教	343329
統	342829
器	342662
曲	341828
殷	340328
禍	338327
斯	337326
圖	335826
乙	334658
願	333491
送	332157
存	331657
兩	330323
兼	329322
圍	328489
辛	328322
虞	328155
積	327488
崇	327155
授	326821
杜	325988
洛	325487
唯	325154
愛	324987
紹	324320
全	323820
火	322152
保	321986
超	321485
辟	321485
給	319151
象	319151
駕	318984
木	318818
舍	318651
丘	318484
俗	317650
厚	317650
案	316983
離	315316
蒙	315149
假	314649
私	314149
傷	313815
玉	313815
向	313315
推	312815
末	311147
克	310313
占	309813
遇	309647
震	309313
報	308479
強	307312
視	306812
危	305645
戎	305478
野	303644
達	303310
堅	302810
弱	302643
精	300642
祀	300476
步	299475
禁	299475
嚴	298975
牛	298641
郭	298308
雨	298308
期	298308
待	297974
并	297808
詣	297808
迎	297641
農	297641
息	297641
郊	297141
丙	296974
葬	296474
祠	296474
彭	296307
顧	295473
具	294973
赦	294473
術	293806
稽	292472
赤	290804
朱	290471
朕	289637
虛	289470
尺	289304
目	288970
襲	288470
密	287803
隱	287636
諫	287303
邊	286469
寵	286302
疏	286135
虎	284801
孤	284635
讓	284468
棄	284301
莽	283801
急	283634
冀	283634
依	282634
納	281967
亭	281967
丹	281300
雅	280299
兮	279799
約	279299
堂	278632
塞	278632
族	278132
輒	277465
孟	277298
溫	276964
施	276798
獄	275964
烏	275130
養	274963
沈	274463
形	274130
尹	273796
勢	273129
累	273129
衡	272629
垂	271295
律	270628
怨	270461
簡	270128
戊	268627
幽	268460
篇	267126
罷	266960
竟	266459
質	263791
袁	262791
午	261957
體	261791
但	261791
賈	261624
敦	260957
羌	260290
喜	260290
闕	259956
慶	259123
鼓	258456
勞	257955
歌	257955
牧	257789
賞	257789
商	257288
充	257122
爭	256455
造	256455
運	256455
選	256288
卯	255954
庚	255121
斷	253953
勒	253453
寅	252953
務	252786
榮	251786
茂	251619
項	251619
穆	251452
雄	251119
凶	250952
要	250619
为	250285
唐	249285
到	249285
手	248784
頃	248284
特	247951
窮	247784
沒	247284
旣	246950
結	246617
輿	246617
社	246283
慮	245616
爾	245116
暴	244616
類	243615
黨	243615
壬	243615
陸	243282
甘	243282
蔡	242281
專	241281
癸	241281
識	241114
慕	240781
患	240614
富	240447
勳	240280
撫	240114
盜	238946
曾	238113
基	237446
吉	236278
羣	235945
拔	233944
谷	233944
熙	233944
澤	233611
增	233611
寸	233611
肅	232944
丑	232610
薄	232277
亥	231276
資	230776
繼	230442
巳	230442
負	230276
殊	229275
蕭	229275
設	228942
飲	228775
條	227774
宿	227608
果	227441
佐	227107
沛	226440
草	225773
脫	225607
賦	225107
真	223606
臺	223606
符	223439
智	223272
委	223106
聚	223106
沙	223106
福	222939
況	222772
市	222605
羊	222439
附	222272
須	221772
酉	221605
叛	220438
旦	220104
稷	220104
錄	219604
籍	219270
穀	219270
災	219270
儒	217936
卑	217936
機	217936
秀	217936
違	217770
豐	217770
惑	217436
移	216602
巴	216602
竊	216269
卓	215602
男	215602
感	215435
呼	215269
帥	214435
房	214268
霸	214268
奇	213768
愚	213434
滿	213268
決	212934
兒	212767
彼	212601
賓	212267
馳	212100
覆	211433
廉	211267
差	210433
曆	209933
察	209766
彌	208932
畢	208932
角	208432
誤	208265
責	207932
游	207098
匹	207098
半	206431
泉	205597
振	204930
烈	204597
憲	204597
贊	204263
序	203763
財	202429
域	201595
苦	201429
述	201262
湯	201095
放	200928
龜	200595
勸	199428
蠻	199428
界	199094
面	198927
升	198761
董	198594
厲	198427
彊	198260
樹	198260
縱	197093
役	196593
融	195593
厥	195259
宰	194926
勿	194926
寡	194926
戌	194759
婦	194592
淵	194259
禹	193592
兗	193425
盧	193258
英	192424
閒	192424
扶	192258
弗	192091
覽	192091
忘	191924
句	191757
斗	191591
戚	191424
回	191424
操	191090
橫	191090
貧	190924
翼	190924
飛	190924
衰	190423
茲	190257
避	189756
允	189756
詳	189590
姊	189089
歎	187756
沖	187589
儉	187422
勤	185588
友	185421
損	184087
謁	184087
遵	183587
贈	182753
晏	182753
示	182586
指	181086
答	180752
謙	180585
兆	180419
鮮	180252
遼	180085
毛	180085
接	180085
遊	179918
鄧	179585
陷	179585
蘇	179418
頗	178751
丈	178751
豪	178418
洪	177918
助	177584
毀	177417
廬	177251
攸	177084
戒	176917
尤	176917
倫	176917
阿	176750
畏	176750
候	176417
舞	176250
班	175583
屈	175416
臧	175083
敵	174916
陶	174749
習	174416
幼	174249
種	174249
奪	173916
庭	173415
索	173249
勇	173082
妃	172748
躬	172415
僧	172248
鳳	172081
鼎	172081
簿	171748
掌	171581
品	171248
余	171248
妹	170914
讀	170914
仰	170747
印	170581
釋	170414
傾	170247
侵	170247
掾	170080
舒	169914
脩	169413
鴻	169247
馮	169080
寒	168913
罰	168913
再	167913
援	167913
干	167746
赴	166912
險	166579
忌	166579
篤	165912
范	165578
露	165412
莊	165078
苟	164745
嬰	164244
井	164078
循	164078
頓	163577
勃	163244
乞	163077
諡	162910
狀	162410
旱	162243
祥	162243
琅	162243
汲	162077
適	161910
渠	161910
端	161576
貢	161076
科	160743
旨	160743
峻	160409
仍	160076
禪	159742
配	159075
采	158742
效	158575
靡	158575
園	158408
笑	158075
舜	158075
葛	157908
賀	157575
幾	157408
折	156741
導	156574
綬	156407
招	156241
寬	155740
池	155073
藏	155073
慎	154907
敕	154907
船	153906
魚	153739
驚	153573
革	152906
悅	152739
稍	152572
数	152239
驃	152072
恨	151738
署	151572
偽	150404
薦	150071
奮	150071
續	149904
支	149904
管	149237
困	148570
鳥	148237
桑	148070
计	147570
減	147570
蝕	147403
鬼	147070
績	146903
夕	146736
姚	146569
秩	145736
荒	145569
防	145569
背	145402
預	145235
訓	145069
境	144902
潛	144568
逼	144235
規	144235
鹿	144068
据	143735
距	143735
荀	143234
謹	143234
帛	142901
珍	142567
念	142567
衍	142401
投	141900
雜	141734
戮	141400
浮	141400
遭	141400
產	140900
泣	140733
涼	140567
賤	139900
費	139733
帶	139733
早	139399
員	139399
湘	139399
堯	138899
忽	138566
姦	138566
壯	138399
蘭	138232
毅	138232
松	137899
驅	137899
貞	137732
渡	137565
戍	137565
隴	137232
飾	137232
欽	137232
咎	137065
靜	136898
倉	136731
匡	136565
涉	136398
肉	136231
紫	136231
仕	135898
維	135731
顏	135731
曜	135564
伊	135231
旅	135231
项	135064
啟	134897
誕	134730
俊	134564
鍾	134230
穎	134230
蒼	134230
逐	133897
骨	133897
黑	133897
羅	133730
誰	133730
划	133563
堪	133063
毋	132729
切	132563
遜	132563
隸	132396
辯	132396
鄴	132062
悼	132062
軌	131896
優	131562
錯	130895
鑒	130895
鳴	130729
爽	130729
獸	130729
柳	130562
猛	130562
式	130228
局	130228
劭	129728
淫	129728
刻	129728
宇	129228
忍	128728
屋	128561
鐘	128561
拒	128394
貌	127727
悲	127560
落	127060
禽	126727
盈	125726
妾	125559
姬	125559
寢	125559
宅	125559
漸	125393
昆	125393
雷	124559
哭	124392
捕	124225
糧	123892
工	123892
孰	123725
樓	123558
級	123558
予	123058
胤	122058
量	121391
履	121391
旗	121224
熒	121057
宏	120891
宛	120724
範	120557
肯	120390
庾	120224
逸	120224
庸	120057
詐	119557
根	119557
郢	119557
蕃	119390
諱	118556
牢	118389
乾	118389
燒	118223
塗	118223
妖	118056
湖	118056
緣	117722
閏	117722
覺	117389
他	117055
似	116889
含	116889
涕	116722
辱	116555
短	116555
最	116555
竹	116055
總	115888
晦	115888
姑	115721
劍	115721
祚	115555
竇	115555
黎	115555
耕	115221
昏	115054
寄	114721
潁	114554
鋒	114221
調	114221
卽	114221
苻	114221
繇	114054
血	114054
台	114054
璽	114054
聰	114054
均	113720
閉	113387
諮	113387
秉	112887
妄	112553
徽	112553
幹	112053
逃	111886
狄	111886
副	111386
饑	111219
畫	110886
戴	110719
痛	110552
舟	110552
踐	110219
區	110219
屢	109552
朗	109385
晝	109218
