我	2058980
的	1762079
你	1444831
是	1172098
了	993990
不	904675
们	701754
这	633842
一	604056
他	564477
么	557804
在	546367
有	533631
个	452923
好	412760
来	377902
人	373292
那	365024
要	355730
会	321488
就	313793
什	307184
没	293874
到	290231
说	281841
吗	253338
为	249231
想	247453
能	241617
上	236451
去	232346
道	230531
她	230468
很	219622
看	213974
可	212670
知	211542
得	208054
过	198278
吧	197159
还	192389
对	191793
里	190694
以	184508
都	180587
事	179716
子	177693
生	162725
时	162611
样	161409
也	159926
和	155937
下	153565
真	140928
现	137777
做	136328
大	135159
啊	131345
怎	129740
出	129404
点	128025
起	127575
天	127053
把	126881
开	126802
让	125114
给	123887
但	122236
谢	120668
着	117476
只	117406
些	113122
如	113103
家	112387
后	109915
儿	105402
多	104049
意	103354
别	102034
所	100444
话	99879
小	99468
自	98698
回	92711
然	91514
果	91471
发	87630
见	85723
心	83418
走	82765
定	81657
听	81570
觉	81155
太	80890
该	80641
当	80228
经	80207
妈	79529
用	79299
打	79262
地	78129
再	78039
因	77540
呢	77341
女	76693
告	76599
最	75999
手	75608
前	75236
找	73582
行	73109
快	72900
而	72462
死	71256
先	71253
像	71186
等	71184
被	70119
从	69789
明	69749
中	69745
哦	69380
情	69279
作	68168
跟	67347
面	67015
诉	65753
爱	65256
已	65079
之	64755
问	64375
错	63231
孩	62601
斯	61882
成	61348
它	61272
感	61054
干	60971
法	60750
电	60278
间	60047
哪	59479
西	59024
己	58674
候	58337
次	58108
信	57928
欢	57817
正	57215
实	57010
关	55693
进	55676
车	55587
年	54824
喜	54432
认	54322
克	53663
爸	53025
谁	52864
方	52743
老	52688
应	52206
比	51838
帮	51013
无	50908
晚	50512
动	49274
头	49069
机	48902
分	48396
特	48225
相	47856
全	47545
杀	47122
需	46611
放	46528
常	46383
直	46163
才	46044
美	45561
于	45429
带	45283
今	44976
力	44859
工	44548
许	44190
东	44037
名	43229
同	42995
长	42596
亲	42501
种	42396
者	42245
嘿	42007
白	41987
学	41964
安	41719
尔	41284
叫	41269
理	41099
本	41063
国	40712
第	40665
友	40149
高	40044
两	39972
保	39731
请	39590
非	39443
重	39372
公	39292
记	39008
身	38760
受	38688
住	38482
活	38236
加	38160
何	37987
伙	37637
题	37524
完	37488
接	37114
拿	37054
望	36791
解	36622
其	36285
离	35725
谈	35703
又	35669
新	35497
更	35397
钱	35222
马	34892
思	34855
部	34796
场	34746
嗯	34639
计	34589
任	34349
确	34030
吃	33829
始	33678
结	32979
利	32917
朋	32843
警	32561
士	31972
外	31747
件	31611
难	31433
位	31427
表	31395
刚	31325
希	31198
查	31095
拉	31007
边	30972
或	30931
将	30460
男	30316
准	30289
变	30205
