的	6005018
我	5822066
你	4909103
了	4898538
是	2757226
啊	1801782
不	1620936
好	1460411
都	1341077
也	1300906
就	1288392
有	1083011
在	1022351
吧	864477
去	856733
吗	851544
要	824876
还	812715
说	769322
没	691037
人	641579
这	638682
吃	623479
那	616006
想	599831
很	570617
看	564314
呢	554284
哈哈	531124
什么	528543
来	525046
哈哈哈	512350
啦	504048
可以	500400
会	473863
没有	470012
不是	442909
给	439602
嗯	435096
就是	434773
多	432460
我们	420688
知道	401854
呀	400360
他	399767
自己	392885
一个	392632
喜欢	392487
对	373462
个	365812
怎么	361701
还是	352613
现在	351567
又	350885
哦	347823
这个	338000
和	336040
太	333337
么	324788
到	324312
能	321368
真的	316371
这么	313473
过	307072
得	282937
觉得	281967
大	266861
着	264580
你们	262680
嘛	257656
时候	252984
爱	249703
买	249148
才	244075
谢谢	234617
做	234277
今天	231755
不要	225246
等	219875
被	219107
跟	216334
找	215146
把	215008
小	211098
她	204751
上	204635
点	202130
感觉	199179
快	198357
一起	195003
回来	194624
让	193897
睡	193791
这样	192253
加油	191340
再	190860
一	188204
那么	187595
不会	186122
谁	184792
真	184374
已经	183285
好看	182456
看到	179943
哈哈哈哈	179703
啥	174137
还有	166676
带	155801
走	155582
哪	154624
那个	153804
不能	152839
一下	152362
玩	151901
一直	149413
一样	148887
用	148843
应该	148577
最	147563
为什么	146645
因为	146421
明天	141195
叫	140109
但是	138899
所以	138793
开心	136931
可能	135115
是不是	134009
出来	129266
比	127113
打	126776
下	125204
哪里	122338
可爱	121060
别	120696
长	120013
不过	119762
哇	117145
只	114668
时间	113177
美	112672
请	112226
起来	111398
穿	111213
更	111212
晚上	111043
回	110983
好好	110012
最近	109773
一定	109474
回家	108826
里	108477
好吃	107881
其实	107797
晚安	105874
哈	105410
有点	104364
早	103862
快乐	102861
不错	102287
挺	101832
以后	100054
然后	99246
死	97908
东西	97828
朋友	97663
像	97577
听	96735
问	95543
别人	94919
希望	94759
只是	94448
开始	94240
好像	94142
问题	93098
完	92601
看看	91652
咋	91134
懂	91071
手机	89689
瘦	89591
不好	89047
但	88919
老	88520
喝	88506
哎	88306
他们	87484
换	87271
不想	87153
幸福	85100
如果	84322
这种	84034
一点	83575
钱	83494
发	82957
呵呵	82936
哒	82425
刚	82394
回去	81991
狗	81864
见	81809
怕	81318
睡觉	80915
下次	79489
很多	79480
胖	79331
一天	79227
以为	78995
发现	78971
可是	78878
拍	78686
咯	78366
特别	78242
脸	78174
送	77575
先	77205
学校	77173
事	77046
必须	77034
厉害	76019
需要	75739
话	75332
上班	75329
大家	75219
生日快乐	74747
肯定	74428
告诉	74382
准备	74079
求	73069
可	72432
记得	72091
吃饭	71753
人家	71170
只有	71046
开	71019
你好	71011
天	70918
工作	70588
比较	70544
老师	70453
中	70446
的话	70401
每天	70393
为	69535
月	69525
高	69511
滴	69454
生活	69393
期待	69126
它	68991
真是	68621
羡慕	68170
笑	67842
冷	67537
嘿嘿	67409
号	67003
天天	66865
没事	66828
不用	66753
一次	66476
帮	66447
几天	66335
哟	65992
拿	65519
约	65505
好多	65099
地方	64983
从	64130
行	64095
不到	63966
哭	63841
亲	63614
帅	62937
昨天	62846
嘻嘻	62561
写	62245
不了	62018
还好	62016
孩子	61984
黑	61970
后	61916
两个	61802
您	60871
年	60497
多少	60181
当	60166
姐姐	59675
阿	59270
家	59188
跑	58867
休息	58799
之前	58367
该	57598
衣服	57390
头发	57160
以前	56888
不行	56800
照片	56498
干嘛	56478
啊啊啊	55904
努力	55778
新	55711
我家	55442
出	54645
少	54424
而且	54391
热	54342
最后	53978
认识	53672
哥	53458
还要	53416
心	53370
原来	52990
肉	52578
噢	52276
意思	52173
有没有	52129
姐	52022
有人	51993
超级	51600
只能	51069
饿	50807
赞	50413
注意	50236
反正	50123
腿	49709
恭喜	49512
结婚	49441
不敢	49230
呗	49007
直接	49004
放	48875
估计	48832
过来	48568
确实	48320
本来	48313
祝	48312
梦	47829
超	47791
这里	47789
前	47675
北京	47651
我会	47609
宝宝	47601
下午	47550
出去	47547
继续	47445
当然	47337
居然	46964
恩	46903
起	46773
为啥	46679
减肥	46679
为了	46568
忙	46346
男朋友	46319
漂亮	46173
看见	46139
一般	45974
累	45794
哪个	45759
棒	45307
哥哥	45217
难道	45174
想要	44669
男	44472
机会	44361
陪	44304
心情	43775
每次	43733
放假	43701
说话	43320
辛苦	43153
在家	43148
并	43059
唉	42814
新年快乐	42546
关注	42456
容易	42413
终于	42384
住	42378
突然	42329
难	41517
事情	41466
卖	41397
早安	41234
过去	41091
手	40877
看着	40855
学	40817
那种	40811
萌	40566
回复	40542
眼睛	39917
周末	39915
电影	39866
怎么办	39708
身体	39663
请问	39289
总	38872
而已	38805
越来越	38719
花	38536
虽然	38530
要是	38386
重要	38315
拉	38207
样子	38173
小时	38103
相信	38077
找到	38059
赶紧	38027
几个	37741
干	37706
猫	37574
世界	37432
看来	37377
字	37356
哼	37226
你家	37162
毕业	37138
诶	37053
错	36950
早上	36875
早点	36858
这些	36858
差不多	36705
加	36698
坐	36638
啥时候	36512
今年	36318
而	36191
忘	36044
抱抱	36004
呐	35950
今晚	35857
心里	35828
考	35808
名字	35777
骂	35660
生日	35615
喔	35540
结果	35489
家里	35484
怎么样	35453
额	35353
车	35243
时	35141
男人	35134
变	35122
晚	34683
永远	34656
最好	34536
分手	34503
好久	34459
人生	34403
心疼	34367
非常	34367
一句	34360
一年	34338
够	34330
差	34282
同学	34199
祝福	33846
里面	33739
饭	33592
妹子	33513
猜	33451
两天	33416
丑	33292
讲	33215
搞	33146
之后	32998
女朋友	32972
养	32801
支持	32654
女	32647
不然	32404
只要	32377
女生	32243
们	32165
讨厌	32110
上海	31959
越	31866
头像	31570
分	31536
其他	31517
过年	31285
遇到	31266
考试	31106
或者	31073
办法	31044
女人	30997
倒	30942
亲爱	30867
图	30744
生	30737
试试	30717
适合	30612
抱	30508
刚刚	30471
有个	30376
天气	30322
马上	30320
句	30314
那里	30289
连	30284
单身	30280
下雨	30154
就要	30121
呦	30015
弄	30002
假	29981
不够	29957
竟然	29937
明明	29883
坚持	29839
地	29806
欢迎	29805
无聊	29668
唱	29395
主要	29390
包	29372
画	29292
睡不着	29136
算	29043
总是	28974
傻	28928
成	28923
年轻	28894
毕竟	28863
远	28820
撒	28803
完全	28778
理解	28765
毛	28658
掉	28647
经常	28549
那些	28489
木	28456
没错	28409
出门	28271
可惜	28183
推荐	28183
可怜	28160
中午	28145
女神	28053
成都	28040
秀	27981
各种	27965
昨晚	27961
有些	27783
宿舍	27777
剪	27482
哪儿	27440
小心	27391
大学	27390
第一次	27374
到底	27327
这边	27130
打算	27117
却	27032
飞	26863
之	26857
有钱	26725
