# 字符	拼音	双拼	辅助码	完整编码	权重	来源
㐸	ci	ci	oo	cioo	0	chars
㐸	qian	qm	oo	qmoo	0	chars
㐹	qi	qi	on	qion	0	chars
㐹	yi	yi	on	yion	0	chars
㐺	yin	yn	oo	ynoo	0	chars
㐺	zhong	vs	oo	vsoo	0	chars
㐻	nei	nz	ob	nzob	0	chars
㐼	cheng	ig	ot	igot	0	chars
㐼	zheng	vg	ot	vgot	0	chars
㐽	feng	fg	ok	fgok	0	chars
㐾	yuan	yr	ou	yrou	0	chars
㑀	tai	tl	oi	tloi	0	chars
㑁	zhuo	vo	ou	voou	0	chars
㑂	fang	fh	ob	fhob	0	chars
㑂	pang	ph	ob	phob	0	chars
㑃	ao	ao	os	aoos	0	chars
㑄	wu	wu	oi	wuoi	0	chars
㑅	zuo	zo	om	zoom	0	chars
㑆	fan	fj	ou	fjou	0	chars
㑆	xiong	xs	ou	xsou	0	chars
㑆	yi	yi	ou	yiou	0	chars
㑇	zhou	vb	om	vbom	0	chars
㑈	dong	ds	od	dsod	0	chars
㑉	su	su	on	suon	0	chars
㑊	yi	yi	oc	yioc	0	chars
㑋	jiong	js	ow	jsow	0	chars
㑋	kong	ks	ow	ksow	0	chars
㑋	qiong	qs	ow	qsow	0	chars
㑌	kuang	kd	og	kdog	0	chars
㑌	wang	wh	og	whog	0	chars
㑍	lei	lz	od	lzod	0	chars
㑎	nao	nk	ou	nkou	0	chars
㑏	zhu	vu	oi	vuoi	0	chars
㑐	shu	uu	of	uuof	0	chars
㑑	za	za	ou	zaou	0	chars
㑑	zan	zj	ou	zjou	0	chars
㑒	jian	jm	oo	jmoo	0	chars
㑓	jun	jp	oe	jpoe	0	chars
㑔	xu	xu	oo	xuoo	0	chars
㑕	hui	hv	oi	hvoi	0	chars
㑖	zhong	vs	ol	vsol	0	chars
㑗	shen	uf	oh	ufoh	0	chars
㑘	jie	jx	ot	jxot	0	chars
㑙	die	dx	ou	dxou	0	chars
㑙	yong	ys	ou	ysou	0	chars
㑚	nuo	no	ol	nool	0	chars
㑛	su	su	ol	suol	0	chars
㑛	shu	uu	ol	uuol	0	chars
㑜	chi	ii	ol	iiol	0	chars
㑜	yi	yi	ol	yiol	0	chars
㑝	long	ls	ot	lsot	0	chars
㑞	ying	yy	ot	yyot	0	chars
㑟	beng	bg	oc	bgoc	0	chars
㑟	bo	bo	oc	booc	0	chars
㑟	peng	pg	oc	pgoc	0	chars
㑠	shu	uu	og	uuog	0	chars
㑡	ji	ji	ol	jiol	0	chars
㑢	jue	jt	ol	jtol	0	chars
㑣	lan	lj	od	ljod	0	chars
㑤	miao	mc	ow	mcow	0	chars
㑥	yi	yi	oh	yioh	0	chars
㑦	li	li	ok	liok	0	chars
㑧	ji	ji	od	jiod	0	chars
㑨	yu	yu	ok	yuok	0	chars
㑩	luo	lo	on	loon	0	chars
㑪	chai	il	ol	ilol	0	chars
㑫	qi	qi	op	qiop	0	chars
㑬	gu	gu	or	guor	0	chars
㑭	bi	bi	ol	biol	0	chars
