# 字符	拼音	双拼	辅助码	完整编码	权重	来源
琰	yan	yj	mf	yjmf	5886	chars
琱	diao	dc	mr	dcmr	0	chars
琲	bei	bz	my	bzmy	4	chars
琲	fei	fz	my	fzmy	0	chars
琲	pei	pz	my	pzmy	0	chars
琳	lin	ln	md	lnmd	156208	chars
琴	qin	qn	mn	qnmn	161113	chars
琵	pi	pi	mp	pimp	8200	chars
琶	ba	ba	mu	bamu	0	chars
琶	pa	pa	mu	pamu	8308	chars
琷	que	qt	mu	qtmu	0	chars
琸	zhuo	vo	mj	vomj	0	chars
琹	qin	qn	md	qnmd	0	chars
琺	fa	fa	mi	fami	0	chars
琻	jin	jn	mc	jnmc	0	chars
琼	qiong	qs	mf	qsmf	49778	chars
琽	du	du	ma	duma	0	chars
琾	jie	jx	ml	jxml	0	chars
琿	hui	hv	mj	hvmj	0	chars
琿	hun	hp	mj	hpmj	0	chars
瑀	yu	yu	mb	yumb	7470	chars
瑁	mao	mk	mu	mkmu	2802	chars
瑁	mei	mz	mu	mzmu	0	chars
瑂	mei	mz	mu	mzmu	0	chars
瑃	chun	ip	ma	ipma	1	chars
瑃	zhuan	vr	ma	vrma	0	chars
瑄	xuan	xr	mm	xrmm	2337	chars
瑅	ti	ti	mo	timo	0	chars
瑆	xing	xy	mm	xymm	36	chars
瑇	dai	dl	mh	dlmh	0	chars
瑈	rou	rb	md	rbmd	0	chars
瑉	min	mn	ma	mnma	0	chars
瑉	wen	wf	ma	wfma	0	chars
瑊	jian	jm	mr	jmmr	0	chars
瑊	xian	xm	mr	xmmr	0	chars
瑊	zhen	vf	mr	vfmr	0	chars
瑋	wei	wz	mq	wzmq	0	chars
瑌	ru	ru	mk	rumk	0	chars
瑌	ruan	rr	mk	rrmk	0	chars
瑍	huan	hr	mk	hrmk	0	chars
瑎	gai	gl	ma	glma	0	chars
瑎	jie	jx	ma	jxma	0	chars
瑎	kai	kl	ma	klma	0	chars
瑎	xie	xx	ma	xxma	0	chars
瑏	chuan	ir	mh	irmh	0	chars
瑐	jian	jm	mn	jmmn	0	chars
瑐	qian	qm	mn	qmmn	0	chars
瑑	zhuan	vr	mo	vrmo	18	chars
瑒	chang	ih	mh	ihmh	0	chars
瑒	yang	yh	mh	yhmh	0	chars
瑒	dang	dh	mh	dhmh	0	chars
瑓	lian	lm	mf	lmmf	3	chars
瑔	quan	qr	me	qrme	1	chars
瑕	jia	jw	me	jwme	0	chars
瑕	xia	xw	me	xwme	10419	chars
瑖	duan	dr	me	drme	0	chars
瑗	yuan	yr	me	yrme	1759	chars
瑘	ye	ye	ml	yeml	0	chars
瑙	nao	nk	mw	nkmw	4424	chars
瑚	hu	hu	mb	humb	9681	chars
瑛	ying	yy	mk	yymk	10948	chars
瑜	yu	yu	mn	yumn	37277	chars
瑝	huang	hd	mg	hdmg	3	chars
瑞	rui	rv	mb	rvmb	161507	chars
瑟	se	se	mh	semh	81347	chars
瑠	liu	lq	mw	lqmw	0	chars
瑡	shi	ui	mb	uimb	0	chars
瑢	rong	rs	mr	rsmr	116	chars
瑣	suo	so	mc	somc	0	chars
瑤	yao	yk	mu	ykmu	0	chars
瑥	wen	wf	mt	wfmt	0	chars
瑦	wu	wu	mf	wumf	0	chars
瑧	jin	jn	md	jnmd	0	chars
瑧	zhen	vf	md	vfmd	117	chars
瑨	jin	jn	ma	jnma	170	chars
瑩	ying	yy	fi	yyfi	0	chars
瑪	ma	ma	mf	mamf	0	chars
瑫	tao	tk	mx	tkmx	0	chars
瑬	liu	lq	ei	lqei	7	chars
瑭	tang	th	mr	thmr	1166	chars
瑮	li	li	md	limd	0	chars
瑯	lan	lj	ml	ljml	0	chars
瑯	lang	lh	ml	lhml	0	chars
瑰	gui	gv	mi	gvmi	58092	chars
瑱	tian	tm	mc	tmmc	65	chars
瑱	zhen	vf	mc	vfmc	0	chars
瑲	cang	ch	mr	chmr	0	chars
瑲	chuang	id	mr	idmr	0	chars
瑲	qiang	qd	mr	qdmr	0	chars
瑳	cuo	co	mm	comm	14	chars
瑴	jue	jt	ge	jtge	0	chars
瑴	yu	yu	ge	yuge	0	chars
瑵	zao	zk	mi	zkmi	0	chars
瑵	zhao	vk	mi	vkmi	0	chars
瑶	yao	yk	mu	ykmu	81683	chars
瑷	ai	ai	me	aime	232	chars
瑸	bin	bn	mc	bnmc	0	chars
瑸	pian	pm	mc	pmmc	0	chars
瑹	shu	uu	md	uumd	0	chars
瑹	tu	tu	md	tumd	0	chars
瑺	chang	ih	mb	ihmb	0	chars
瑻	kun	kp	mc	kpmc	0	chars
瑼	zhuan	vr	mi	vrmi	0	chars
瑽	cong	cs	mo	csmo	0	chars
瑾	jin	jn	mm	jnmm	14682	chars
瑿	yi	yi	si	yisi	0	chars
璀	cui	cv	mg	cvmg	8045	chars
璁	cong	cs	mp	csmp	500	chars
璂	qi	qi	mg	qimg	0	chars
璃	li	li	mb	limb	88749	chars
璄	jing	jy	mu	jymu	0	chars
璅	chao	ik	md	ikmd	0	chars
璅	sao	sk	md	skmd	0	chars
璅	suo	so	md	somd	0	chars
璅	zao	zk	md	zkmd	0	chars
璆	liao	lc	mh	lcmh	0	chars
璆	qiu	qq	mh	qqmh	40	chars
璇	xuan	xr	mo	xrmo	31459	chars
璈	ao	ao	mk	aomk	438	chars
璉	lian	lm	mj	lmmj	0	chars
璊	man	mj	mb	mjmb	0	chars
璊	men	mf	mb	mfmb	0	chars
璋	zhang	vh	mj	vhmj	38930	chars
璌	yin	yn	mc	ynmc	0	chars
璍	hua	hw	mj	hwmj	0	chars
璍	ye	ye	mj	yemj	0	chars
璎	ying	yy	mv	yymv	3679	chars
璏	zhi	vi	mp	vimp	0	chars
璐	lu	lu	mr	lumr	28683	chars
璑	wu	wu	mf	wumf	0	chars
璒	deng	dg	mt	dgmt	3	chars
璓	xiu	xq	ms	xqms	0	chars
璔	zeng	zg	ma	zgma	0	chars
璕	xun	xp	mi	xpmi	0	chars
璖	ju	ju	md	jumd	0	chars
璖	qu	qu	md	qumd	0	chars
璗	dang	dh	ei	dhei	0	chars
璘	lin	ln	mq	lnmq	328	chars
璙	liao	lc	mf	lcmf	0	chars
璚	ju	ju	mb	jumb	0	chars
璚	jue	jt	mb	jtmb	0	chars
璚	qiong	qs	mb	qsmb	0	chars
璛	su	su	mx	sumx	0	chars
璜	huang	hd	mc	hdmc	2543	chars
璝	gui	gv	mc	gvmc	0	chars
璞	pu	pu	mo	pumo	6014	chars
璟	jing	jy	mf	jymf	2603	chars
璠	fan	fj	mw	fjmw	1232	chars
璡	jin	jn	mg	jnmg	0	chars
璢	liu	lq	mw	lqmw	0	chars
璣	ji	ji	mi	jimi	0	chars
璤	hui	hv	mp	hvmp	0	chars
璥	jing	jy	mk	jymk	6	chars
璦	ai	ai	me	aime	0	chars
璧	bi	bi	si	bisi	14608	chars
璨	can	cj	md	cjmd	8551	chars
璩	ju	ju	mo	jumo	0	chars
璩	qu	qu	mo	qumo	245	chars
璪	zao	zk	md	zkmd	24	chars
璫	dang	dh	mw	dhmw	0	chars
璬	jiao	jc	mk	jcmk	7	chars
璭	guan	gr	mj	grmj	0	chars
璭	gun	gp	mj	gpmj	0	chars
璭	yun	yp	mj	ypmj	0	chars
璮	tan	tj	mm	tjmm	35	chars
璯	hui	hv	ma	hvma	0	chars
璯	kuai	ky	ma	kyma	0	chars
環	huan	hr	mv	hrmv	0	chars
璱	se	se	mh	semh	38	chars
璲	sui	sv	mo	svmo	3	chars
璳	tian	tm	mc	tmmc	0	chars
璴	chu	iu	mo	iumo	0	chars
璵	yu	yu	mc	yumc	0	chars
璶	jin	jn	mt	jnmt	0	chars
璷	fu	fu	mk	fumk	0	chars
璷	lu	lu	mk	lumk	0	chars
璸	bin	bn	mc	bnmc	0	chars
璸	pian	pm	mc	pmmc	0	chars
璹	shou	ub	mi	ubmi	0	chars
璹	shu	uu	mi	uumi	0	chars
璺	wen	wf	hi	wfhi	446	chars
璻	cui	cv	mj	cvmj	0	chars
璻	zui	zv	mj	zvmj	0	chars
璼	lan	lj	mt	ljmt	0	chars
璽	xi	xi	mi	ximi	0	chars
璾	ji	ji	mx	jimx	0	chars
璾	qi	qi	mx	qimx	0	chars
璾	zi	zi	mx	zimx	0	chars
璿	jun	jp	mu	jpmu	0	chars
璿	xuan	xr	mu	xrmu	0	chars
璿	xun	xp	mu	xpmu	0	chars
瓀	ru	ru	mb	rumb	0	chars
瓀	ruan	rr	mb	rrmb	3	chars
瓁	hu	hu	me	hume	0	chars
瓁	huo	ho	me	home	0	chars
瓁	wo	wo	me	wome	0	chars
瓂	gai	gl	mt	glmt	0	chars
瓃	lei	lz	mw	lzmw	0	chars
瓄	du	du	mc	dumc	0	chars
瓅	li	li	md	limd	0	chars
瓆	zhi	vi	mc	vimc	0	chars
瓇	rou	rb	me	rbme	0	chars
瓈	li	li	me	lime	0	chars
瓉	zan	zj	mc	zjmc	0	chars
瓊	qiong	qs	me	qsme	0	chars
瓋	ti	ti	mb	timb	0	chars
瓋	zhe	ve	mb	vemb	0	chars
瓌	gui	gv	mv	gvmv	0	chars
瓍	sui	sv	mb	svmb	0	chars
瓎	la	la	mc	lamc	0	chars
瓏	long	ls	mp	lsmp	0	chars
瓐	lu	lu	mt	lumt	0	chars
瓑	li	li	mm	limm	0	chars
瓒	zan	zj	mo	zjmo	4653	chars
瓓	lan	lj	mw	ljmw	0	chars
瓔	ying	yy	mv	yymv	0	chars
瓕	mi	mi	ni	mini	0	chars
瓕	xi	xi	ni	xini	0	chars
瓖	xiang	xd	mv	xdmv	69	chars
瓗	qiong	qs	mb	qsmb	0	chars
瓗	wei	wz	mb	wzmb	0	chars
瓗	xi	xi	mb	ximb	0	chars
瓘	guan	gr	mg	grmg	415	chars
瓙	dao	dk	mf	dkmf	0	chars
瓚	zan	zj	mc	zjmc	0	chars
瓛	huan	hr	mk	hrmk	0	chars
瓛	xian	xm	mk	xmmk	0	chars
瓛	ya	ya	mk	yamk	0	chars
瓛	ye	ye	mk	yemk	0	chars
瓜	gua	gw	ho	gwho	106525	chars
瓜	wo	wo	ho	woho	0	chars
瓝	bao	bk	hi	bkhi	0	chars
瓝	bo	bo	hi	bohi	0	chars
瓞	die	dx	ho	dxho	54	chars
瓟	bao	bk	hu	bkhu	0	chars
瓟	bo	bo	hu	bohu	0	chars
瓟	pao	pk	hu	pkhu	0	chars
瓠	hu	hu	ko	huko	406	chars
瓠	huo	ho	ko	hoko	0	chars
瓡	hu	hu	go	hugo	0	chars
瓡	zhi	vi	go	vigo	0	chars
瓢	piao	pc	mo	pcmo	8967	chars
瓣	ban	bj	yj	bjyj	22056	chars
瓤	rang	rh	yo	rhyo	846	chars
瓥	li	li	hi	lihi	0	chars
瓦	wa	wa	mi	wami	108370	chars
瓧	shi	ui	mj	uimj	0	chars
瓨	gang	gh	mn	ghmn	0	chars
瓨	hong	hs	mn	hsmn	0	chars
瓨	jiang	jd	mn	jdmn	0	chars
瓨	wa	wa	mn	wamn	0	chars
瓨	xiang	xd	mn	xdmn	0	chars
瓨	zhu	vu	mn	vumn	0	chars
瓩	qian	qm	mj	qmmj	0	chars
瓪	ban	bj	me	bjme	0	chars
瓫	pen	pf	cn	pfcn	0	chars
瓬	fang	fh	yn	fhyn	0	chars
瓭	dan	dj	ln	djln	0	chars
瓮	weng	wg	cn	wgcn	6733	chars
瓯	ou	ou	sn	ousn	1414	chars
瓰	fen	ff	mh	ffmh	0	chars
瓱	mao	mk	mu	mkmu	0	chars
瓲	wa	wa	mu	wamu	0	chars
瓳	hu	hu	jn	hujn	0	chars
瓴	ling	ly	on	lyon	2088	chars
瓵	yi	yi	in	yiin	0	chars
瓶	ping	py	tn	pytn	151362	chars
瓷	ci	ci	in	ciin	24855	chars
瓸	bai	bl	ma	blma	0	chars
瓸	wa	wa	ma	wama	0	chars
瓹	juan	jr	rn	jrrn	0	chars
瓺	chang	ih	sn	ihsn	0	chars
瓻	chi	ii	kn	iikn	0	chars
瓻	wa	wa	kn	wakn	0	chars
瓻	xi	xi	kn	xikn	0	chars
瓼	li	li	mg	limg	0	chars
瓽	dang	dh	fn	dhfn	0	chars
瓾	meng	mg	hn	mghn	0	chars
瓾	wa	wa	hn	wahn	0	chars
瓿	bu	bu	yn	buyn	75	chars
瓿	pou	pb	yn	pbyn	0	chars
甀	chui	iv	hn	ivhn	0	chars
甀	zhui	vv	hn	vvhn	0	chars
甁	ping	py	yn	pyyn	0	chars
甂	bian	bm	hn	bmhn	0	chars
甃	zhou	vb	hn	vbhn	0	chars
甄	zhen	vf	mn	vfmn	26342	chars
甄	juan	jr	mn	jrmn	0	chars
甅	li	li	mg	limg	0	chars
甆	ci	ci	tn	citn	0	chars
甇	ying	yy	fn	yyfn	0	chars
甈	nie	nx	hn	nxhn	0	chars
甈	qi	qi	hn	qihn	0	chars
甈	yi	yi	hn	yihn	0	chars
甉	xian	xm	cn	xmcn	0	chars
甊	lou	lb	ln	lbln	0	chars
甋	di	di	yn	diyn	0	chars
甌	ou	ou	sn	ousn	0	chars
甍	meng	mg	tn	mgtn	130	chars
甎	zhuan	vr	jn	vrjn	0	chars
甏	bang	bh	gn	bhgn	0	chars
甏	beng	bg	gn	bggn	65	chars
甏	peng	pg	gn	pggn	0	chars
甐	lin	ln	fn	lnfn	0	chars
甑	jing	jy	cn	jycn	0	chars
甑	zeng	zg	cn	zgcn	627	chars
甒	wu	wu	on	wuon	0	chars
甓	pi	pi	sn	pisn	35	chars
甔	dan	dj	nn	djnn	0	chars
甕	weng	wg	yn	wgyn	0	chars
甖	ying	yy	bn	yybn	0	chars
甗	xian	xm	yn	xmyn	0	chars
甗	yan	yj	yn	yjyn	2	chars
甘	gan	gj	tm	gjtm	153739	chars
甘	han	hj	tm	hjtm	0	chars
甙	dai	dl	im	dlim	0	chars
甚	shen	uf	tv	uftv	576087	chars
甛	tian	tm	tr	tmtr	0	chars
甜	tian	tm	hm	tmhm	156743	chars
甝	gan	gj	ym	gjym	0	chars
甝	han	hj	ym	hjym	0	chars
甞	chang	ih	fm	ihfm	0	chars
生	sheng	ug	hm	ughm	4966773	chars
甠	qing	qy	am	qyam	0	chars
甡	shen	uf	hm	ufhm	110	chars
產	chan	ij	ym	ijym	0	chars
産	chan	ij	ym	ijym	0	chars
甤	rui	rv	mm	rvmm	0	chars
甥	sheng	ug	hs	ughs	7427	chars
甦	su	su	mm	summ	53	chars
甧	shen	uf	hb	ufhb	0	chars
用	yong	ys	bq	ysbq	3170468	chars
甩	shuai	uy	bu	uybu	100637	chars
甪	lu	lu	hq	luhq	268	chars
甫	fu	fu	ib	fuib	46012	chars
甬	yong	ys	nq	ysnq	7009	chars
甭	beng	bg	mq	bgmq	10111	chars
甮	beng	bg	pq	bgpq	0	chars
甮	feng	fg	pq	fgpq	0	chars
甯	ning	ny	jq	nyjq	106	chars
田	tian	tm	wz	tmwz	339958	chars
由	you	yb	lw	yblw	1400586	chars
甲	jia	jw	wl	jwwl	253580	chars
甲	xia	xw	wl	xwwl	0	chars
申	shen	uf	ll	ufll	78049	chars
甴	you	yb	lm	yblm	0	chars
甴	za	za	lm	zalm	0	chars
甴	zha	va	lm	valm	0	chars
电	dian	dm	lu	dmlu	1308303	chars
甶	fu	fu	hw	fuhw	0	chars
男	nan	nj	ws	njws	1354324	chars
甸	dian	dm	pw	dmpw	23242	chars
甸	sheng	ug	pw	ugpw	0	chars
甸	tian	tm	pw	tmpw	0	chars
甹	ping	py	ls	pyls	0	chars
町	ding	dy	wn	dywn	3824	chars
町	ting	ty	wn	tywn	0	chars
町	tian	tm	wn	tmwn	0	chars
町	zheng	vg	wn	vgwn	0	chars
画	hua	hw	mw	hwmw	359784	chars
甼	ding	dy	wn	dywn	0	chars
甼	ting	ty	wn	tywn	0	chars
甽	jun	jp	wl	jpwl	0	chars
甽	quan	qr	wl	qrwl	0	chars
甽	zhen	vf	wl	vfwl	0	chars
甽	zun	zp	wl	zpwl	0	chars
甽	zhun	vp	wl	vpwl	0	chars
甾	zai	zl	vw	zlvw	110	chars
甾	zi	zi	vw	zivw	0	chars
甿	meng	mg	wv	mgwv	0	chars
畀	bi	bi	wl	biwl	189	chars
畁	bi	bi	ll	bill	0	chars
畁	qi	qi	ll	qill	0	chars
畂	mou	mb	wo	mbwo	0	chars
畂	mu	mu	wo	muwo	0	chars
畃	xun	xp	li	xpli	0	chars
畄	liu	lq	fw	lqfw	0	chars
畅	chang	ih	lh	ihlh	66298	chars
畆	mou	mb	yi	mbyi	0	chars
畆	mu	mu	yi	muyi	0	chars
畇	yun	yp	wm	ypwm	0	chars
畈	fan	fj	we	fjwe	334	chars
畉	fu	fu	wo	fuwo	0	chars
畊	geng	gg	wt	ggwt	0	chars
畊	jing	jy	wt	jywt	0	chars
畋	tian	tm	wk	tmwk	178	chars
畋	wen	wf	wk	wfwk	0	chars
界	jie	jx	wl	jxwl	913395	chars
畍	jie	jx	wl	jxwl	0	chars
畎	quan	qr	wk	qrwk	136	chars
畏	wei	wz	wv	wzwv	70481	chars
畐	bi	bi	mw	bimw	0	chars
畐	fu	fu	mw	fumw	0	chars
畑	tian	tm	fw	tmfw	0	chars
畒	mu	mu	yo	muyo	0	chars
畓	duo	do	ew	doew	0	chars
畔	ban	bj	wq	bjwq	0	chars
畔	pan	pj	wq	pjwq	23833	chars
畕	jiang	jd	ww	jdww	0	chars
畖	wa	wa	wo	wawo	1	chars
畗	da	da	yw	dayw	0	chars
畗	fu	fu	yw	fuyw	0	chars
畘	nan	nj	wb	njwb	0	chars
留	da	da	hw	dahw	0	chars
留	liu	lq	hw	lqhw	778671	chars
畚	ben	bf	iw	bfiw	155	chars
畚	bo	bo	iw	boiw	0	chars
畛	zhen	vf	wh	vfwh	113	chars
畜	chu	iu	yw	iuyw	28647	chars
畜	xu	xu	yw	xuyw	1000	chars
畝	mou	mb	yo	mbyo	0	chars
畝	mu	mu	yo	muyo	0	chars
畞	mou	mb	jo	mbjo	0	chars
畞	mu	mu	jo	mujo	0	chars
畟	ce	ce	we	cewe	0	chars
畟	ji	ji	we	jiwe	0	chars
畠	tian	tm	hw	tmhw	0	chars
畠	zai	zl	hw	zlhw	0	chars
畠	zi	zi	hw	zihw	0	chars
畡	gai	gl	wo	glwo	0	chars
畡	hai	hl	wo	hlwo	0	chars
畢	bi	bi	wj	biwj	0	chars
畣	da	da	ow	daow	0	chars
畤	chou	ib	wi	ibwi	0	chars
畤	shi	ui	wi	uiwi	0	chars
畤	zhi	vi	wi	viwi	54	chars
略	lve	lt	wr	ltwr	301716	chars
畦	qi	qi	wg	qiwg	861	chars
畦	wa	wa	wg	wawg	0	chars
畦	xi	xi	wg	xiwg	0	chars
畧	lve	lt	wr	ltwr	0	chars
畨	fan	fj	fw	fjfw	0	chars
畨	pan	pj	fw	pjfw	0	chars
畨	po	po	fw	pofw	0	chars
畩	yi	yi	wv	yiwv	0	chars
番	fan	fj	hw	fjhw	223306	chars
番	pan	pj	hw	pjhw	1	chars
番	po	po	hw	pohw	0	chars
番	bo	bo	hw	bohw	0	chars
畫	hua	hw	lm	hwlm	0	chars
畬	she	ue	ow	ueow	0	chars
畬	yu	yu	ow	yuow	23	chars
畭	she	ue	wd	uewd	0	chars
畭	yu	yu	wd	yuwd	0	chars
畮	mou	mb	wy	mbwy	0	chars
畮	mu	mu	wy	muwy	0	chars
畯	jun	jp	we	jpwe	25	chars
畯	zun	zp	we	zpwe	0	chars
異	yi	yi	wc	yiwc	0	chars
畱	liu	lq	mw	lqmw	0	chars
畲	she	ue	ow	ueow	890	chars
畳	die	dx	wm	dxwm	0	chars
畴	chou	ib	wi	ibwi	11750	chars
畵	hua	hw	lw	hwlw	0	chars
當	dang	dh	fw	dhfw	0	chars
畷	zhui	vv	we	vvwe	0	chars
畸	ji	ji	wr	jiwr	5545	chars
畸	qi	qi	wr	qiwr	0	chars
畹	wan	wj	wu	wjwu	1123	chars
畺	jiang	jd	mm	jdmm	0	chars
畻	cheng	ig	wg	igwg	0	chars
畼	chang	ih	wh	ihwh	0	chars
畽	tuan	tr	wg	trwg	0	chars
畽	tun	tp	wg	tpwg	0	chars
畾	lei	lz	ww	lzww	0	chars
畿	ji	ji	vw	jivw	3056	chars
畿	qi	qi	vw	qivw	0	chars
疀	cha	ia	vo	iavo	0	chars
疁	liu	lq	wh	lqwh	2	chars
疂	die	dx	wm	dxwm	0	chars
疃	tuan	tr	wg	trwg	158	chars
疃	tun	tp	wg	tpwg	0	chars
疄	lin	ln	wq	lnwq	0	chars
疅	jiang	jd	wm	jdwm	0	chars
疆	jiang	jd	nm	jdnm	51900	chars
疆	qiang	qd	nm	qdnm	0	chars
疇	chou	ib	wi	ibwi	0	chars
疈	fu	fu	mw	fumw	0	chars
疈	pi	pi	mw	pimw	0	chars
疉	da	da	wm	dawm	0	chars
疉	die	dx	wm	dxwm	0	chars
疊	da	da	wm	dawm	0	chars
疊	die	dx	wm	dxwm	0	chars
疋	pi	pi	no	pino	0	chars
疋	shu	uu	no	uuno	0	chars
疋	ya	ya	no	yano	0	chars
疌	jie	jx	jo	jxjo	0	chars
疌	nie	nx	jo	nxjo	0	chars
疌	qie	qx	jo	qxjo	0	chars
疍	dan	dj	nm	djnm	26	chars
疎	shu	uu	nl	uunl	0	chars
疎	su	su	nl	sunl	0	chars
疏	shu	uu	nu	uunu	60274	chars
疏	su	su	nu	sunu	0	chars
疐	di	di	jo	dijo	0	chars
疐	ti	ti	jo	tijo	0	chars
疐	zhi	vi	jo	vijo	6	chars
疑	ni	ni	po	nipo	0	chars
疑	yi	yi	po	yipo	556639	chars
疑	ning	ny	po	nypo	0	chars
疒	chuang	id	im	idim	0	chars
疒	ne	ne	im	neim	0	chars
疓	nai	nl	ks	nlks	0	chars
疔	ding	dy	kn	dykn	125	chars
疕	bi	bi	kp	bikp	0	chars
疖	jie	jx	kl	jxkl	260	chars
疗	liao	lc	kn	lckn	94630	chars
疘	gang	gh	km	ghkm	0	chars
疘	gong	gs	km	gskm	0	chars
疙	ge	ge	kn	gekn	17365	chars
疙	yi	yi	kn	yikn	0	chars
疚	jiu	jq	ko	jqko	37765	chars
疛	zhou	vb	ki	vbki	0	chars
疜	xia	xw	ky	xwky	0	chars
疝	shan	uj	ku	ujku	215	chars
疞	xu	xu	ks	xuks	0	chars
疞	zhuang	vd	ks	vdks	0	chars
疟	nve	nt	km	ntkm	1012	chars
疟	yao	yk	km	ykkm	10	chars
疠	lai	ll	ks	llks	0	chars
疠	li	li	ks	liks	201	chars
疡	yang	yh	kh	yhkh	1426	chars
疢	chen	if	kf	ifkf	12	chars
疣	you	yb	ku	ybku	486	chars
疤	ba	ba	ku	baku	31337	chars
疥	jie	jx	kl	jxkl	607	chars
疦	jue	jt	kk	jtkk	0	chars
疦	xue	xt	kk	xtkk	0	chars
疧	qi	qi	kp	qikp	0	chars
疧	xi	xi	kp	xikp	0	chars
疧	zhi	vi	kp	vikp	0	chars
疨	jia	jw	kh	jwkh	0	chars
疨	xia	xw	kh	xwkh	0	chars
疨	ya	ya	kh	yakh	0	chars
疩	cui	cv	kj	cvkj	0	chars
疩	sui	sv	kj	svkj	0	chars
疪	bi	bi	kp	bikp	0	chars
疫	yi	yi	ke	yike	21652	chars
疬	li	li	ks	liks	57	chars
疭	zong	zs	ko	zsko	0	chars
疮	chuang	id	ku	idku	9968	chars
疯	feng	fg	kk	fgkk	244767	chars
疰	zhu	vu	kg	vukg	18	chars
疱	pao	pk	ku	pkku	1049	chars
疲	pi	pi	ke	pike	106623	chars
疳	gan	gj	km	gjkm	85	chars
疴	e	ee	kr	eekr	0	chars
疴	ke	ke	kr	kekr	403	chars
疵	ci	ci	kp	cikp	4857	chars
疶	shi	ui	kt	uikt	0	chars
疶	xie	xx	kt	xxkt	0	chars
疶	xue	xt	kt	xtkt	0	chars
疷	zhi	vi	km	vikm	0	chars
疸	da	da	km	dakm	0	chars
疸	dan	dj	km	djkm	324	chars
疹	zhen	vf	kh	vfkh	1914	chars
疹	chen	if	kh	ifkh	0	chars
疺	bian	bm	ko	bmko	0	chars
疺	fa	fa	ko	fako	0	chars
疻	zhi	vi	kc	vikc	0	chars
疼	teng	tg	km	tgkm	213129	chars
疼	tong	ts	km	tskm	0	chars
疽	ju	ju	km	jukm	992	chars
疽	qu	qu	km	qukm	0	chars
疾	ji	ji	kk	jikk	120121	chars
疿	fei	fz	kn	fzkn	0	chars
痀	gou	gb	kr	gbkr	0	chars
痀	ju	ju	kr	jukr	0	chars
痁	dian	dm	kr	dmkr	0	chars
痁	shan	uj	kr	ujkr	0	chars
痂	jia	jw	kr	jwkr	1405	chars
痃	xian	xm	ki	xmki	0	chars
痃	xuan	xr	ki	xrki	9	chars
痄	chi	ii	ks	iiks	0	chars
痄	zha	va	ks	vaks	27	chars
病	bing	by	kb	bykb	505956	chars
痆	ni	ni	kp	nikp	0	chars
痆	nie	nx	kp	nxkp	0	chars
症	zheng	vg	km	vgkm	58943	chars
痈	yong	ys	kq	yskq	373	chars
痉	jing	jy	km	jykm	5743	chars
痊	quan	qr	kg	qrkg	8478	chars
痋	chong	is	ki	iski	0	chars
痋	teng	tg	ki	tgki	0	chars
痌	tong	ts	kr	tskr	0	chars
痍	yi	yi	kn	yikn	1335	chars
痎	hai	hl	ko	hlko	0	chars
痎	jie	jx	ko	jxko	0	chars
痎	kai	kl	ko	klko	0	chars
痏	wei	wz	kb	wzkb	0	chars
痏	you	yb	kb	ybkb	0	chars
痏	yu	yu	kb	yukb	0	chars
痐	hui	hv	kr	hvkr	0	chars
痑	duo	do	kn	dokn	0	chars
痑	shi	ui	kn	uikn	0	chars
痑	tan	tj	kn	tjkn	0	chars
痑	tuo	to	kn	tokn	0	chars
痒	yang	yh	kq	yhkq	54133	chars
痓	chi	ii	kg	iikg	0	chars
痓	zhi	vi	kg	vikg	0	chars
痔	zhi	vi	ki	viki	1598	chars
痕	hen	hf	kv	hfkv	144963	chars
痖	ya	ya	kc	yakc	0	chars
痗	mei	mz	ky	mzky	0	chars
痘	dou	db	kt	dbkt	5797	chars
痙	jing	jy	km	jykm	0	chars
痚	xiao	xc	kd	xckd	0	chars
痛	tong	ts	kb	tskb	653298	chars
痜	tu	tu	kn	tukn	0	chars
痝	mang	mh	kh	mhkh	0	chars
痝	meng	mg	kh	mgkh	0	chars
痞	pi	pi	kr	pikr	14766	chars
痟	xiao	xc	kb	xckb	0	chars
痠	suan	sr	ke	srke	0	chars
痡	pu	pu	kb	pukb	0	chars
痢	li	li	kn	likn	1662	chars
痣	zhi	vi	kp	vikp	4604	chars
痤	cuo	co	kg	cokg	358	chars
痥	duo	do	ku	doku	0	chars
痦	wu	wu	kr	wukr	209	chars
痧	sha	ua	kh	uakh	379	chars
痨	lao	lk	ks	lkks	1271	chars
痩	shou	ub	ke	ubke	0	chars
痪	huan	hr	kk	hrkk	6519	chars
痫	xian	xm	kd	xmkd	721	chars
痬	yi	yi	kh	yikh	0	chars
痭	beng	bg	kb	bgkb	0	chars
痭	peng	pg	kb	pgkb	0	chars
痮	zhang	vh	kv	vhkv	0	chars
痯	guan	gr	kr	grkr	0	chars
痰	tan	tj	kf	tjkf	7445	chars
痱	fei	fz	ky	fzky	434	chars
痲	ma	ma	kc	makc	0	chars
痳	lin	ln	kd	lnkd	0	chars
痳	ma	ma	kd	makd	0	chars
痴	chi	ii	kr	iikr	140246	chars
痵	ji	ji	kd	jikd	0	chars
痶	dian	dm	kc	dmkc	0	chars
痶	tian	tm	kc	tmkc	0	chars
痷	an	an	ku	anku	0	chars
痷	e	ee	ku	eeku	0	chars
痷	ye	ye	ku	yeku	0	chars
痸	chi	ii	kn	iikn	0	chars
痹	bi	bi	kl	bikl	9748	chars
痺	bei	bz	kj	bzkj	0	chars
