 	gtzm,gxzm
ц	aaex
ч	aaex
ш	aaex
щ	aaex
ъ	aaex
ы	aaex
ь	aaex
э	aaex
ю	aaex
я	aaex
ё	aaex
฿	aahb
ᴬ	aasz
ᴮ	aasz
ᴰ	aasz
ᴱ	aasz
ᴳ	aasz
ᴴ	aasz
ᴵ	aasz
ᴶ	aasz
ᴷ	aasz
ᴸ	aasz
ᴹ	aasz
ᴺ	aasz
ᴼ	aasz
ᴾ	aasz
ᴿ	aasz
ᵀ	aasz
ᵁ	aasz
ᵂ	aasz
ᵃ	aasz
ᵇ	aasz
ᵈ	aasz
ᵉ	aasz
ᵍ	aasz
ᵏ	aasz
ᵐ	aasz
ᵒ	aasz
ᵖ	aasz
ᵗ	aasz
ᵘ	aasz
ᵛ	aasz
ᵢ	aaxz
ᵣ	aaxz
ᵤ	aaxz
ᵥ	aaxz
ᵦ	aaxx
ᵧ	aaxx
ᵨ	aaxx
ᵩ	aaxx
ᵪ	aaxx
Ḿ	aazd
ḿ	aazx,aapy
​	fwwf
‍	fwwd
—	gdpj
―	aabd
‖	aabd
†	aabd
‡	aabd
•	aabd
‣	aabd
․	aabd
‥	aabd
…	kkrj
‧	aabd
‪	loat
‫	lowt
‬	lozf
‭	atmj
‮	wtmj
‰	meoy,aasx
‱	ayoy,ekoy,aasx
′	oyd,aats
″	mfkm,aats
‸	aabd
※	aabd,zgba,zzba
‼	aabd
‽	aabd
‾	aabd
⁂	aabd
⁃	aabd
⁇	aabd
⁈	aabd
⁉	aabd
⁠	szwd
⁦	ysat
⁧	yswt
⁰	ivfo,ivja
ⁱ	aasz
⁴	ivlk
⁵	ivbx
⁶	ivso
⁷	ivhd
⁸	ivoa
⁹	ivqy
⁺	aasf
⁻	aasf
⁼	aasf
ⁿ	aasz
₀	aifo,aija
₁	aiav
₂	aibd
₃	aicd
₄	ailk
₅	aibx
₆	aiso
₇	aihd
₈	aioa
₉	aiqy
₊	aaxf
₋	aaxf
₌	aaxf
ₐ	aaxz
ₑ	aaxz
ₒ	aaxz
ₓ	aaxz
ₕ	aaxz
ₖ	aaxz
ₗ	aaxz
ₘ	aaxz
ₙ	aaxz
ₚ	aaxz
ₛ	aaxz
ₜ	aaxz
₠	aahb
₡	aahb
₢	aahb
₣	aahb
₤	aahb
₥	aahb
₦	aahb
₧	aahb
₨	aahb
₩	aahb
₪	aahb
₫	aahb
€	hobr,hjbr,aahb
₭	aahb
₮	aahb
₯	aahb
₰	aahb
₱	aahb
⃢	aazh,oafh
ℂ	sxdc
℃	drht,aats
ℇ	aats
℉	nrht,erht,aats
ℍ	sxdh
ℎ	aats
ℏ	aats
ℕ	sxdn
№	aats,txja
℗	aabp
ℙ	sxdp
ℚ	sxdq
ℝ	sxdr
℞	rosy,risy,irsy,aabp
℠	qyry,qyxx,aabp
℡	kzsm,fksm,aabp
™	sufb,suff,aabp
ℤ	sxdz
℥	aats
Ω	aats,hozz,hjzz
K	aats
Å	aats,bzma
⅐	aafs
⅑	aafs
⅒	aafs
⅓	aafs
⅔	aafs
⅕	aafs
⅖	aafs
⅗	aafs
⅘	aafs
⅙	aafs
⅚	aafs
⅛	aafs
⅜	aafs
⅝	aafs
⅞	aafs
⅟	aafs
Ⅰ	aaaa
Ⅱ	bdaa
Ⅲ	cdaa
Ⅳ	lkaa
Ⅴ	bix
Ⅵ	sovv
Ⅶ	hdaa
Ⅷ	oaaa
Ⅸ	qyaa
Ⅹ	edaa
Ⅺ	edav
Ⅻ	edbd
Ⅼ	bxed
Ⅽ	avan
Ⅾ	bxan
Ⅿ	avme
ⅰ	aaaa
ⅱ	bdaa
ⅲ	cdaa
ⅳ	lkaa
ⅴ	bix
ⅵ	sovv
ⅶ	hdaa
ⅷ	oaaa
ⅸ	qyaa
ⅹ	edaa
ⅺ	edav
ⅻ	edbd
ⅼ	bxed
ⅽ	avan
ⅾ	bxan
ⅿ	avme
←	aajt
↑	aajt
→	aajt
↓	aajt
↔	aajt
↕	aajt
↖	aajt
↗	aajt
↘	aajt
↙	aajt
↰	aajt
↱	aajt
↲	aajt
↳	aajt
↴	aajt
↵	aajt
↶	aajt
↷	aajt
↸	aajt
↹	aadn,mlcr
↺	aajt
↻	aajt
⇋	oswg,oswp
⇐	aajt
⇑	aajt
⇒	aajt
⇓	aajt
⇔	aajt
⇕	aajt
⇖	aajt
⇗	aajt
⇘	aajt
⇙	aajt
⇞	aadn,ivgo
⇟	aadn,aigo
⇪	aadn,gdwa,gdwn
⇬	aadn,gdwa,gdwn
⇭	aadn,uzwy,kzwy
⇱	aadn,byzz
⇲	aadn,zbfj
∀	aasx
∁	aasx
∂	aasx,nolo
∃	aasx
∄	aasx
∅	aasx,wbnf
∆	aasx,buka
∇	aasx
∈	aasx
∉	aasx
∋	aasx
∌	aasx
∎	aasx
∏	aasx,kzmt
∑	aasx,kzyj
−	tdaj,vhaj,aasx
∓	rlai,aasx
∕	yomf,aasx
∗	aasx
∘	aasx
∙	aasx
√	fxja,asyf,aasx
∛	aasx
∜	aasx
∝	airr,aasx
