# 三简
刻	yol
卒	yoo
處	yph
紫	ypv
虜	ypw
高	yrb
說	yrc
討	yrd
詩	yrg
話	yrh
諸	yrj
語	yrm
部	yrn
論	yro
請	yrq
詔	yrs
議	yrt
選	yru
謂	yrw
識	yry
放	yso
避	ysr
童	ytw
站	yty
導	yud
遇	ywl
適	yyc
遊	yys
